ticker,name,sector,industry,country,market_cap,n_years,fiscal_years,roic_avg,roic_trend,roic_latest,fcf_margin_avg,fcf_positive_years,fcf_years,rev_cagr,net_debt,ebitda_latest,nd_to_ebitda,net_cash,share_change,gm_avg,gm_std,exclude_reason,exchange,currency,price,market_cap_usd,dollar_volume_usd
AIZ,"Assurant, Inc.",Financial Services,Insurance - Property & Casualty,United States,14190941184.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,287.71,14190941184.0,108817676.0
RNR,RenaissanceRe Holdings Ltd.,Financial Services,Insurance - Reinsurance,Bermuda,14043292672.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,337.97,14043292672.0,109262659.0
SMMT,Summit Therapeutics Inc.,Healthcare,Biotechnology,United States,13665451008.0,1,2022,,,,,,,,,,,,,,,only 1 years of statements,NGM,USD,17.13,13665451008.0,88565063.0
AEG,Aegon Ltd.,Financial Services,Insurance - Diversified,Netherlands,13661030400.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,9.2,13661030400.0,46743222.0
GL,Globe Life Inc.,Financial Services,Insurance - Life,United States,13565464576.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,176.52,13565464576.0,110711226.0
ERIE,Erie Indemnity Company,Financial Services,Insurance Brokers,United States,13510132736.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,258.37,13510132736.0,74492980.0
SEIC,SEI Investments Company,Financial Services,Asset Management,United States,13377338368.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,111.46,13377338368.0,77129763.0
TME,Tencent Music Entertainment Group,Communication Services,Internet Content & Information,China,13364073472.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,country China,NYQ,USD,8.2,13364073472.0,78256118.0
CNA,CNA Financial Corporation,Financial Services,Insurance - Property & Casualty,United States,13302742016.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,49.16,13302742016.0,24632306.0
ALLY,Ally Financial Inc.,Financial Services,Credit Services,United States,13260063744.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,43.59,13260063744.0,137054675.0
IAG.TO,iA Financial Corporation Inc.,Financial Services,Insurance - Diversified,Canada,18069407744.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",TOR,CAD,204.44,13102888754.0,43641708.0
FNF,"Fidelity National Financial, Inc.",Financial Services,Insurance - Specialty,United States,12680157184.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,47.28,12680157184.0,76540363.0
AUR,"Aurora Innovation, Inc.",Consumer Cyclical,Auto Parts,United States,12666261504.0,2,"2022,2025",,,,,,,,,,,,,,,only 2 years of statements,NMS,USD,6.32,12666261504.0,178071246.0
AGNC,AGNC Investment Corp.,Real Estate,REIT - Mortgage,United States,12637232128.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,10.66,12637232128.0,181220522.0
MDGL,"Madrigal Pharmaceuticals, Inc.",Healthcare,Biotechnology,United States,12536529920.0,2,"2024,2025",,,,,,,,,,,,,,,only 2 years of statements,NMS,USD,542.61,12536529920.0,191610241.0
SF,Stifel Financial Corp.,Financial Services,Capital Markets,United States,12424422400.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,82.28,12424422400.0,100592319.0
IVN.TO,Ivanhoe Mines Ltd.,Basic Materials,Other Industrial Metals & Mining,Canada,16631510016.0,2,"2024,2025",,,,,,,,,,,,,,,only 2 years of statements,TOR,CAD,11.66,12060208538.0,32810288.0
AFG,"American Financial Group, Inc.",Financial Services,Insurance - Property & Casualty,United States,11968883712.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,144.34,11968883712.0,64499917.0
FHN,First Horizon Corporation,Financial Services,Banks - Regional,United States,11825477632.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,24.96,11825477632.0,127319912.0
LI,Li Auto Inc.,Consumer Cyclical,Auto Manufacturers,China,11789180928.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,country China,NMS,USD,12.06,11789180928.0,41981234.0
EVR,Evercore Inc.,Financial Services,Capital Markets,United States,11418498048.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,296.91,11418498048.0,141091038.0
GMIN.TO,G Mining Ventures Corp.,Basic Materials,Gold,Canada,15742750720.0,2,"2024,2025",,,,,,,,,,,,,,,only 2 years of statements,TOR,CAD,53.13,11415731732.0,39069567.0
FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchanges,United States,11130592256.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,312.96,11130592256.0,290521707.0
JEF,Jefferies Financial Group Inc.,Financial Services,Capital Markets,United States,11036049408.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,54.26,11036049408.0,114106881.0
BPOP,"Popular, Inc.",Financial Services,Banks - Regional,United States,10927170560.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,171.33,10927170560.0,87463622.0
UMBF,UMB Financial Corporation,Financial Services,Banks - Regional,United States,10894272512.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,143.44,10894272512.0,92042579.0
HUT,Hut 8 Corp.,Financial Services,Capital Markets,United States,10857926656.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,88.09,10857926656.0,400422873.0
X.TO,TMX Group Limited,Financial Services,Financial Data & Stock Exchanges,Canada,14915263488.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",TOR,CAD,54.16,10815685881.0,34986738.0
XPEV,XPeng Inc.,Consumer Cyclical,Auto Manufacturers,China,10656452608.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,country China,NYQ,USD,11.14,10656452608.0,81800508.0
FRHC,Freedom Holdings Corp.,Financial Services,Financial Conglomerates,United States,10425455616.0,4,"2023,2024,2025,2026",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NCM,USD,163.44,10425455616.0,26024388.0
SSB,SouthState Bank Corporation,Financial Services,Banks - Regional,United States,10386942976.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,107.11,10386942976.0,90904043.0
WTFC,Wintrust Financial Corporation,Financial Services,Banks - Regional,United States,10355756032.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,153.52,10355756032.0,90154927.0
ORI,Old Republic International Corporation,Financial Services,Insurance - Property & Casualty,United States,10277799936.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,42.57,10277799936.0,57615856.0
APGE,,,,,,0,,,,,,,,,,,,,,,,only 0 years of statements,NGM,USD,135.07,10223142912.0,380150328.0
XP,XP Inc.,Financial Services,Capital Markets,Cayman Islands,10148859904.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,20.0,10148859904.0,105485460.0
ZION,"Zions Bancorporation, National Association",Financial Services,Banks - Regional,United States,10116027392.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,69.31,10116027392.0,112228138.0
CFR,"Cullen/Frost Bankers, Inc.",Financial Services,Banks - Regional,United States,10113471488.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NYQ,USD,162.73,10113471488.0,97725549.0
ONB,Old National Bancorp,Financial Services,Banks - Regional,United States,9939168256.0,4,"2022,2023,2024,2025",,,,,,,,,,,,,,,"bank/insurer/lender: ROIC, EBITDA and FCF screens do not apply",NMS,USD,25.98,9939168256.0,108645242.0
PRAX,"Praxis Precision Medicines, Inc.",Healthcare,Biotechnology,United States,9915783168.0,2,"2023,2024",,,,,,,,,,,,,,,only 2 years of statements,NMS,USD,355.15,9915783168.0,169921162.0
