ticker,name,exchange,currency,price,market_cap_usd,dollar_volume_usd,first_trade,fifty_two_week_high,pulled,source
FTDR,"Frontdoor, Inc.",NMS,USD,82.71,5698165760.0,47894962.0,2018-09-13,93.43,2026-09-04,Yahoo Finance screener via yfinance
ERAS,"Erasca, Inc.",NMS,USD,16.26,5687131136.0,75455278.0,2021-07-16,24.28,2026-09-04,Yahoo Finance screener via yfinance
VSEC,VSE Corporation,NMS,USD,202.58,5685402112.0,91077942.0,1982-10-22,247.85,2026-09-04,Yahoo Finance screener via yfinance
CVLT,"Commvault Systems, Inc.",NMS,USD,137.12,5682878464.0,99956915.0,2006-09-22,198.18,2026-09-04,Yahoo Finance screener via yfinance
CRUS,"Cirrus Logic, Inc.",NMS,USD,113.13,5669799424.0,80866682.0,1989-06-09,180.42,2026-09-04,Yahoo Finance screener via yfinance
VIRT,"Virtu Financial, Inc.",NYQ,USD,64.19,5668020736.0,86022945.0,2015-04-16,68.76,2026-09-04,Yahoo Finance screener via yfinance
EXLS,"ExlService Holdings, Inc.",NMS,USD,37.32,5658178560.0,95696541.0,2006-10-20,45.08,2026-09-04,Yahoo Finance screener via yfinance
BYD,Boyd Gaming Corporation,NYQ,USD,77.79,5651865088.0,73365460.0,1993-10-15,91.41,2026-09-04,Yahoo Finance screener via yfinance
OBDC,Blue Owl Capital Corporation,NYQ,USD,11.38,5647955456.0,42771730.0,2019-07-18,14.44,2026-09-04,Yahoo Finance screener via yfinance
RITM,Rithm Capital Corp.,NYQ,USD,10.05,5611991040.0,53378655.0,2013-05-02,12.74,2026-09-04,Yahoo Finance screener via yfinance
BBUC,Brookfield Business Corporation,NYQ,USD,27.31,5610621440.0,12724384.0,2022-03-07,38.25,2026-09-04,Yahoo Finance screener via yfinance
FLG,"Flagstar Bank, National Association",NYQ,USD,13.48,5595451392.0,64766763.0,1993-11-23,15.44,2026-09-04,Yahoo Finance screener via yfinance
BKH,Black Hills Corporation,NYQ,USD,73.3,5589355520.0,65437695.0,1973-02-22,78.69,2026-09-04,Yahoo Finance screener via yfinance
