ticker,close,date
BNTX,97.12,2026-09-21
BOOT,125.68,2026-09-21
BOX,33.68,2026-09-21
BP,43.35,2026-09-21
BR,164.0775,2026-09-21
BRKR,62.3451,2026-09-21
BROS,38.595,2026-09-21
BRSL,10.35,2026-09-21
BRX,27.955,2026-09-21
BRZE,24.28,2026-09-21
BSX,43.195,2026-09-21
BSY,32.09,2026-09-21
BTDR,13.485,2026-09-21
BTE,4.655,2026-09-21
BTI,55.725,2026-09-21
BTO.TO,7.435,2026-09-21
BTU,25.56,2026-09-21
BUD,78.185,2026-09-21
BULL,8.365,2026-09-21
BURL,247.63,2026-09-21
BVN,33.265,2026-09-21
BWA,63.63,2026-09-21
BWXT,148.635,2026-09-21
BXP,63.87,2026-09-21
BYD,72.855,2026-09-21
CACI,637.48,2026-09-21
CAE.TO,34.24,2026-09-21
CAG,15.16,2026-09-21
CAH,225.52,2026-09-21
CAKE,98.98,2026-09-21
CALM,72.3,2026-09-21
CALX,35.23,2026-09-21
CALY,14.685,2026-09-21
CAMT,150.91,2026-09-21
CAR,116.955,2026-09-21
CARG,33.35,2026-09-21
CARR,54.795,2026-09-21
CASY,597.28,2026-09-21
CAT,820.5,2026-09-21
CAVA,51.97,2026-09-21
CBRE,141.91,2026-09-21
CBT,76.75,2026-09-21
CBZ,54.695,2026-09-21
CC,14.58,2026-09-21
CCC,6.585,2026-09-21
CCEP,100.605,2026-09-21
CCI,73.43,2026-09-21
CCJ,92.58,2026-09-21
CCK,108.965,2026-09-21
CCL,22.375,2026-09-21
CDE,19.5399,2026-09-21
CDNA,54.33,2026-09-21
CDNS,293.34,2026-09-21
CDP,34.46,2026-09-21
CDW,144.755,2026-09-21
CE,45.645,2026-09-21
CECO,71.55,2026-09-21
CEG,265.07,2026-09-21
CELH,28.485,2026-09-21
CENTA,34.755,2026-09-21
CENX,39.54,2026-09-21
CF,125.0,2026-09-21
CGAU,22.785,2026-09-21
CGNX,62.11,2026-09-21
CHD,95.63,2026-09-21
CHDN,83.01,2026-09-21
CHE,499.31,2026-09-21
CHEF,111.24,2026-09-21
CHH,97.73,2026-09-21
CHKP,133.67,2026-09-21
CHRD,139.05,2026-09-21
CHRW,152.04,2026-09-21
CHTR,126.55,2026-09-21
CHWY,20.855,2026-09-21
CI,274.305,2026-09-21
CIEN,362.63,2026-09-21
CIFR,18.5,2026-09-21
CIG,2.1683,2026-09-21
CIGI,91.665,2026-09-21
CL,86.71,2026-09-21
CLBT,11.505,2026-09-21
CLDX,37.86,2026-09-21
CLF,12.235,2026-09-21
CLH,314.45,2026-09-21
CLMT,57.27,2026-09-21
CLOV,4.5292,2026-09-21
CLS,345.6047,2026-09-21
CLX,84.43,2026-09-21
CMBT,19.72,2026-09-21
CMCSA,23.035,2026-09-21
CMG,33.2851,2026-09-21
CMI,534.09,2026-09-21
CMPR,79.69,2026-09-21
CMS,64.97,2026-09-21
CNC,64.945,2026-09-21
CNH,13.6793,2026-09-21
CNI,118.0,2026-09-21
CNK,35.29,2026-09-21
CNM,42.95,2026-09-21
CNP,38.215,2026-09-21
CNQ.TO,67.74,2026-09-21
CNR,91.83,2026-09-21
